#         Elevation : 50 deg.
#  Central Azimuths : [240.0, 75.0, 285.0, 120.0] deg.
#  Local Sid. Times : [0.86, 6.86, 12.86, 18.86] hours.
#     Azimuth Throw : 40.0 deg. (not on sky)
#     Scan Set Time : 1:05:00
#   Solar Avoidance : 45.0 deg.
#   Lunar Avoidance : 45.0 deg.
# Focal Plane Width : 35.0deg
#Site           |Telescope       |Latitude [deg]|Longitude [deg]  |Elevation [m]
 Atacama        |SAT             |       -22.958|        -67.786|         5200.0
#      Start time UTC       |Stop time UTC|Rotation|Patch name                           |Az min  |Az max      |El |Pass|Sub
  2023-11-01 04:10:00| 2023-11-01 05:15:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    1|   3
  2023-11-01 05:15:00| 2023-11-01 06:20:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    1|   4
  2023-11-01 06:20:00| 2023-11-01 07:25:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    1|   5
  2023-11-01 07:25:00| 2023-11-01 08:30:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    1|   6
  2023-11-01 08:30:00| 2023-11-01 09:35:00|   45.00|Constant elevation scan.             | 55.00|   95.00|   50.00|    1|   7
  2023-11-01 09:35:00| 2023-11-01 10:40:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    1|   8
  2023-11-01 10:40:00| 2023-11-01 11:45:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    1|   9
  2023-11-01 11:45:00| 2023-11-01 12:50:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    1|  10
  2023-11-01 12:50:00| 2023-11-01 13:55:00|   45.00|Constant elevation scan.             |265.00|  305.00|   50.00|    1|  11
  2023-11-01 13:55:00| 2023-11-01 15:00:00|   45.00|Constant elevation scan.             |265.00|  305.00|   50.00|    1|  12
  2023-11-01 15:00:00| 2023-11-01 16:05:00|   45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    1|  13
  2023-11-01 16:05:00| 2023-11-01 17:10:00|   45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    1|  14
  2023-11-01 17:10:00| 2023-11-01 18:15:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    1|  15
  2023-11-01 18:15:00| 2023-11-01 19:20:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    1|  16
  2023-11-01 19:20:00| 2023-11-01 20:25:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    1|  17
  2023-11-01 20:25:00| 2023-11-01 21:30:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    1|  18
  2023-11-01 21:30:00| 2023-11-01 22:35:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    1|  19
  2023-11-01 22:35:00| 2023-11-01 23:40:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    1|  20
  2023-11-01 23:40:00| 2023-11-02 00:45:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    1|  21
  2023-11-02 00:45:00| 2023-11-02 01:50:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    2|   0
  2023-11-02 01:50:00| 2023-11-02 02:55:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    2|   1
  2023-11-02 02:55:00| 2023-11-02 04:00:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|   2
  2023-11-02 04:00:00| 2023-11-02 05:05:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|   3
  2023-11-02 05:05:00| 2023-11-02 06:10:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|   4
  2023-11-02 06:10:00| 2023-11-02 07:15:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|   5
  2023-11-02 07:15:00| 2023-11-02 08:20:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|   6
  2023-11-02 08:20:00| 2023-11-02 09:25:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|   7
  2023-11-02 09:25:00| 2023-11-02 10:30:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|   8
  2023-11-02 10:30:00| 2023-11-02 11:35:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|   9
  2023-11-02 11:35:00| 2023-11-02 12:40:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|  10
  2023-11-02 12:40:00| 2023-11-02 13:45:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|  11
  2023-11-02 13:45:00| 2023-11-02 14:50:00|  -45.00|Constant elevation scan.             |265.00|  305.00|   50.00|    2|  12
  2023-11-02 14:50:00| 2023-11-02 15:55:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    2|  13
  2023-11-02 15:55:00| 2023-11-02 17:00:00|  -45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    2|  14
  2023-11-02 17:00:00| 2023-11-02 18:05:00|  -45.00|Constant elevation scan.             | 55.00|   95.00|   50.00|    2|  15
  2023-11-02 18:05:00| 2023-11-02 19:10:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    2|  16
  2023-11-02 19:10:00| 2023-11-02 20:15:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    2|  17
  2023-11-02 20:15:00| 2023-11-02 21:20:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    2|  18
  2023-11-02 21:20:00| 2023-11-02 22:25:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    2|  19
  2023-11-02 22:25:00| 2023-11-02 23:30:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    2|  20
  2023-11-02 23:30:00| 2023-11-03 00:35:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    2|  21
  2023-11-03 00:35:00| 2023-11-03 01:40:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    3|   0
  2023-11-03 01:40:00| 2023-11-03 02:45:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    3|   1
  2023-11-03 02:45:00| 2023-11-03 03:50:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|   2
  2023-11-03 03:50:00| 2023-11-03 04:55:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|   3
  2023-11-03 04:55:00| 2023-11-03 06:00:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|   4
  2023-11-03 06:00:00| 2023-11-03 07:05:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|   5
  2023-11-03 07:05:00| 2023-11-03 08:10:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|   6
  2023-11-03 08:10:00| 2023-11-03 09:15:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|   7
  2023-11-03 09:15:00| 2023-11-03 10:20:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|   8
  2023-11-03 10:20:00| 2023-11-03 11:25:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|   9
  2023-11-03 11:25:00| 2023-11-03 12:30:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|  10
  2023-11-03 12:30:00| 2023-11-03 13:35:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|  11
  2023-11-03 13:35:00| 2023-11-03 14:40:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|  12
  2023-11-03 14:40:00| 2023-11-03 15:45:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    3|  13
  2023-11-03 15:45:00| 2023-11-03 16:50:00|   45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    3|  14
  2023-11-03 16:50:00| 2023-11-03 17:55:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    3|  15
  2023-11-03 17:55:00| 2023-11-03 19:00:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    3|  16
  2023-11-03 19:00:00| 2023-11-03 20:05:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    3|  17
  2023-11-03 20:05:00| 2023-11-03 21:10:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    3|  18
  2023-11-03 21:10:00| 2023-11-03 22:15:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    3|  19
  2023-11-03 22:15:00| 2023-11-03 23:20:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    3|  20
  2023-11-03 23:20:00| 2023-11-04 00:25:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    3|  21
  2023-11-04 00:25:00| 2023-11-04 01:30:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    4|   0
  2023-11-04 01:30:00| 2023-11-04 02:35:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    4|   1
  2023-11-04 02:35:00| 2023-11-04 03:40:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|   2
  2023-11-04 03:40:00| 2023-11-04 04:45:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|   3
  2023-11-04 04:45:00| 2023-11-04 05:50:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|   4
  2023-11-04 05:50:00| 2023-11-04 06:55:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|   5
  2023-11-04 06:55:00| 2023-11-04 08:00:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    4|   6
